Strain,MinorPi,MajorPi,MajorMapped,MinorMapped
LEWES/EiJ,18.26788,15.85761,6.904474924,1.168127441
ZALENDE/EiJ,12.15634,16.55667,10.55882211,0.060330376
129S1/SvImJ,17.69036,19.51313,11.21053676,0.767787637
CAST/EiJ,23.03805,16.59445,9.979350866,0.607735379
PWK/PhJ,15.70953,17.39014,9.087333795,2.174353555
WSB/EiJ,17.36727,15.08479,11.11298341,0.762807781
C57BL/6NJ,16.30931,15.50395,8.76154374,0.587679115
A/J,17.75465,15.86064,5.745458609,0.785038325
C3H/HeJ,16.48134,15.55983,9.547843933,0.829307803
DBA/2J,22.28917,15.54753,13.37060319,1.206009685
FVB/NJ,12.53402,16.26042,11.27923719,0.580223738
MOLF/EiJ,21.69183,23.91328,3.881103859,0.500349681
SPRET/EiJ,19.23788,30.43417,0.334908282,5.960710525
Wild M.m.castaneus India,26.334149,26.311487,2.306487187,0.528031517
cast.h12,25.83091,25.15804,1.859506747,0.502702299
cast.h14,25.44158,24.82071,1.86321224,0.485246126
cast.h15,25.92299,25.72321,2.82169563,0.586855191
cast.h24,27.88131,29.62179,2.715003242,0.480051943
cast.h26,25.46417,25.52273,2.214262141,0.550830445
cast.h27,26.50951,26.89336,2.633963219,0.603608245
cast.h28,25.64701,26.51098,2.608809367,0.582328682
cast.h30,26.68992,26.89633,1.731434451,0.447367321
cast.h34,26.21711,27.01835,2.241011836,0.459847312
cast.h36,27.73698,24.94937,2.375972997,0.581477607
wildmusc,31.31816278,28.45254472,1.073528519,0.0645629
Wild M.m.musculus Kazhakstan,34.87559125,29.16092875,0.974183188,0.074532238
musc.AL1,34.16316,28.37063,1.008696457,0.079073194
musc.AL16,35.33293,28.96491,0.971529926,0.074832746
musc.AL19,35.72106,29.7146,1.011053295,0.082204662
musc.AL33,33.94894,28.28211,0.880208301,0.069001259
musc.AL38,35.64942,30.04413,0.999072742,0.075870241
musc.AL40,35.03382,29.65713,0.968832599,0.071180765
musc.AL41,34.50088,28.77119,0.962306912,0.072079967
musc.AL42,34.65452,29.48273,0.991765269,0.07201507
Wild M.m.musculus Afghanistan,26.94498333,27.35234167,1.208772159,0.064193773
musc.396,27.16708,28.50903,1.049296764,0.065737457
musc.413,25.1745,27.41506,0.935432651,0.045194186
musc.416,28.89708,27.69651,1.979300083,0.096968703
musc.424,26.96291,27.13664,1.209765842,0.068281497
musc.435,26.7771,26.79282,0.94235467,0.05348401
musc.444,26.69123,26.56399,1.136482947,0.055496784
Wild M.m.musculus Czech,32.13391375,28.84436375,1.03763021,0.05496269
musc.CR12,31.64688,28.52201,1.080679635,0.054574418
musc.CR13,32.24706,29.04266,1.117922503,0.056328266
musc.CR16,32.12783,28.89912,1.064064072,0.051492257
musc.CR23,31.81764,29.05849,1.00742503,0.051730371
musc.CR25,32.64359,28.97496,0.94846794,0.056528809
musc.CR29,31.86548,28.43205,1.071054807,0.055609138
musc.CR46,33.32062,29.18359,1.05109957,0.06174659
musc.CR59,31.40221,28.64203,0.960328122,0.051691672
wilddom,31.54654839,29.84770363,0.906974975,0.123078734
Wild M.m.domesticus Iran,32.72531125,30.11324125,0.940889753,0.133956842
dom.AH15,31.36498,29.24237,0.87207313,0.129871886
dom.AH23,32.75823,30.36185,0.724504382,0.097083657
dom.JR11,32.19958,28.60752,0.788164741,0.129305975
dom.JR15,30.51322,27.81219,0.788614603,0.112659681
dom.JR2-F1C,31.71003,28.50995,0.900090661,0.125554769
dom.JR5-F1C,36.62863,35.80326,1.455443692,0.181385598
dom.JR7-F1C,34.51893,31.1136,0.953793636,0.146691741
dom.JR8-F1A,32.10889,29.45519,1.044433179,0.149101428
Wild M.m.domesticus France,32.8845825,30.7313925,0.932750493,0.126663396
dom.14,31.33348,29.67235,0.847811825,0.109398361
dom.15B,33.33798,31.54446,0.962075171,0.126352141
dom.16B,31.99804,30.50935,0.922808415,0.117148228
dom.18B,31.92429,29.12552,0.811926078,0.110653037
dom.B2C,34.98396,31.3084,1.13947697,0.180593793
dom.C1,35.14218,33.60419,0.999159749,0.126460526
dom.E1,33.45386,31.22312,0.988314046,0.135749408
dom.F1B,30.90287,28.86375,0.790431687,0.106951675
Wild M.m.domesticus Germany,29.02975143,28.69847714,0.847284679,0.108615964
dom.TP1,30.16132,29.84028,0.820375497,0.110867541
dom.TP121B,29.37805,27.84728,0.844301712,0.111084244
dom.TP3-92,28.45922,29.95602,0.826037499,0.101176624
dom.TP4a,26.52827,27.9038,0.754048968,0.088693949
dom.TP51D,30.1722,28.93766,0.88896666,0.118937355
dom.TP7-10F1A2,28.51644,27.53995,0.883435968,0.118817777
dom.TP81B,29.99276,28.86435,0.91382645,0.110734262